segment,ip,alias,active,excluded,hostname,latency,scan_time,estimated_uptime,state_change,ping_reason
ROZO,192.168.19.19,LA PRIMAVERA,True,False,,,2026-01-29T09:28:46.702466,1872.121603,False,ttl_ok
ROZO,192.168.19.139,VILLA LENIS ROZO,True,False,,,2026-01-29T09:28:46.704273,1872.12341,False,ttl_ok
ROZO,192.168.19.36,OBANDO ROZO,True,False,,,2026-01-29T09:28:46.707415,1872.126552,False,ttl_ok
ROZO,192.168.19.20,VIRGINIA I ROZO,True,False,,,2026-01-29T09:28:46.722575,1872.141712,False,ttl_ok
ROZO,192.168.19.6,CAJEROS ROZO MICROSEGUROS,True,False,,,2026-01-29T09:28:46.722747,1872.141884,False,ttl_ok
ROZO,192.168.19.21,VIA CEMENTERIO,True,False,,,2026-01-29T09:28:46.728966,1872.148103,False,ttl_ok
ROZO,192.168.19.32,CANCHA LA TORRE II,True,False,,,2026-01-29T09:28:46.729099,1872.148236,False,ttl_ok
ROZO,192.168.19.14,TELECOM ROZO,True,False,,,2026-01-29T09:28:46.743411,1872.162548,False,ttl_ok
ROZO,192.168.19.16,CANCHA LA TORRE I,True,False,,,2026-01-29T09:28:46.751262,1872.170399,False,ttl_ok
ROZO,192.168.19.25,EL ZAPOTE ROZO,True,False,,,2026-01-29T09:28:46.763655,1872.182792,False,ttl_ok
ROZO,192.168.19.15,TIENDA NUEVA I ROZO,True,False,,,2026-01-29T09:28:46.766314,1872.185451,False,ttl_ok
ROZO,192.168.19.12,PTO FRT AL CEMENTERIO,True,False,,,2026-01-29T09:28:46.774726,1872.193863,False,ttl_ok
ROZO,192.168.18.70,OFICINA PRINCIPAL ROZO,True,False,,,2026-01-29T09:28:46.778993,1872.19813,False,ttl_ok
ROZO,192.168.19.135,LA PIÑA I ROZO,True,False,,,2026-01-29T09:28:46.807499,1872.226636,False,ttl_ok
ROZO,192.168.19.29,TEATRO ROZO,True,False,,,2026-01-29T09:28:46.837949,1872.257086,False,ttl_ok
ROZO,192.168.19.13,BOMBEROS ROZO,True,False,,,2026-01-29T09:28:46.838040,1872.257177,False,ttl_ok
ROZO,192.168.19.35,BELALCAZAR ROZO,True,False,,,2026-01-29T09:28:46.838139,1872.257276,False,ttl_ok
ROZO,192.168.19.10,ANTIGUA PRINCIPAL ROZO,True,False,,,2026-01-29T09:28:46.858008,1872.277145,False,ttl_ok
ROZO,192.168.19.23,LA TROCHA ROZO,True,False,,,2026-01-29T09:28:46.858098,1872.277235,False,ttl_ok
ROZO,192.168.19.28,CONTROL LA TORRE,True,False,,,2026-01-29T09:28:46.867817,,True,ttl_ok
ROZO,192.168.19.138,MATAPALO II,True,False,,,2026-01-29T09:28:46.886595,1872.305732,False,ttl_ok
ROZO,192.168.19.17,TELECOM LA TORRE,False,False,,,2026-01-29T09:28:50.136750,,False,win_fail_rc=0
ROZO,192.168.19.18,CALLEJON VERGARA II,False,False,,,2026-01-29T09:28:50.137800,,False,win_fail_rc=0
ROZO,192.168.19.26,VIRGINIA II ROZO,False,False,,,2026-01-29T09:28:50.217588,,False,win_fail_rc=0
ROZO,10.100.1.20,EL PEAJE ROZO SIST,False,False,,,2026-01-29T09:28:50.605615,,False,win_fail_rc=1
