segment,ip,alias,active,excluded,hostname,latency,scan_time,estimated_uptime,state_change,ping_reason
AMAIME Y EL PLACER,192.168.12.41,AMAIME I,True,False,,,2026-01-29T11:15:36.739643,4896.617941,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.31,LOS PARRALES,True,False,,,2026-01-29T11:15:36.740455,4896.618753,False,ttl_ok
CANDELARIA,192.168.40.12,ADMINISTRATIVO CARMELO,True,False,,,2026-01-29T11:15:36.747748,4896.626046,False,ttl_ok
CANDELARIA,192.168.40.17,LA VIRGEN V.GORGONA,True,False,,,2026-01-29T11:15:36.749668,4896.627966,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.37,MERCAHOGAR,True,False,,,2026-01-29T11:15:36.750420,4896.628718,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.61,LA PALOMERA,True,False,,,2026-01-29T11:15:36.750538,4896.628836,False,ttl_ok
CANDELARIA,192.168.40.23,LA MARIA V.GORGONA,True,False,,,2026-01-29T11:15:36.755818,4896.634116,False,ttl_ok
CANDELARIA,10.100.1.4,TAT ANTARES V.GORGONA,True,False,,,2026-01-29T11:15:36.758951,4896.637249,False,ttl_ok
CANDELARIA,192.168.40.81,TAT TIENDA LA VICTORIA V.GORG,True,False,,,2026-01-29T11:15:36.761537,4896.639835,False,ttl_ok
CANDELARIA,192.168.40.29,OFICINA 20 JULIO V.GORg,True,False,,,2026-01-29T11:15:36.765185,4896.643483,False,ttl_ok
CANDELARIA,192.168.40.107,EL SAMAN GORGONA V.GORG,True,False,,,2026-01-29T11:15:36.765502,4896.6438,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.27,MALL CENTER AMAIME,True,False,,,2026-01-29T11:15:36.766717,4896.645015,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.73,TRIUNFO  II,True,False,,,2026-01-29T11:15:36.771102,4896.6494,False,ttl_ok
CANDELARIA,192.168.40.13,OFI PPAL V.GORGONA,True,False,,,2026-01-29T11:15:36.774216,4896.652514,False,ttl_ok
CANDELARIA,192.168.40.27,LOS ANGELES V.GORGONA,True,False,,,2026-01-29T11:15:36.775915,4896.654213,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.25,CALLE COMERCIO,True,False,,,2026-01-29T11:15:36.776815,4896.655113,False,ttl_ok
AMAIME Y EL PLACER,192.168.22.35,LA PAMPA,True,False,,,2026-01-29T11:15:36.781222,4896.65952,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.35,TIENDA JOEL,True,False,,,2026-01-29T11:15:36.801732,4896.68003,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.65,COOMSAVAL,True,False,,,2026-01-29T11:15:36.807170,4896.685468,False,ttl_ok
CANDELARIA,192.168.40.141,BODEGA 2 CAVASA,True,False,,,2026-01-29T11:15:36.807467,4896.685765,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.47,EL GALEON,True,False,,,2026-01-29T11:15:36.807609,4896.685907,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.103,BOYACA,True,False,,,2026-01-29T11:15:36.807842,4896.68614,False,ttl_ok
CANDELARIA,192.168.40.147,T.A.T BELEN GORG,True,False,,,2026-01-29T11:15:36.833316,4896.711614,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.67,EL OVIEDO I,True,False,,,2026-01-29T11:15:36.842388,4896.720686,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.53,PORVENIR DE COMFANDI AMAIME,True,False,,,2026-01-29T11:15:36.850945,4896.729243,False,ttl_ok
CANDELARIA,192.168.40.105,VARIEDADES ALDEA CAMPEST,True,False,,,2026-01-29T11:15:36.856359,4896.734657,False,ttl_ok
CANDELARIA,192.168.40.99,AVENIDA LA VICTORIA V.GORG,True,False,,,2026-01-29T11:15:36.865600,4896.743898,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.71,TIENDA GAVIOTA,True,False,,,2026-01-29T11:15:36.882937,4896.761235,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.77,CARERRA 3 AMAIME,True,False,,,2026-01-29T11:15:36.885566,4896.763864,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.23,ANTIGUA PPAL AMAIME,True,False,,,2026-01-29T11:15:36.889802,4896.7681,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.11,OFICINA PRINCIPAL AMAIME,True,False,,,2026-01-29T11:15:36.893838,4896.772136,False,ttl_ok
CANDELARIA,192.168.40.159,CORRESPONSAL DALIAS,True,False,,,2026-01-29T11:15:36.906116,4896.784414,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.45,ESCUELA AMAIME,True,False,,,2026-01-29T11:15:36.970356,4896.848654,False,ttl_ok
CANDELARIA,192.168.40.161,TAT DALIAS,True,False,,,2026-01-29T11:15:37.000253,4896.878551,False,ttl_ok
CANDELARIA,192.168.40.21,IGLESIA V.GORGONA,True,False,,,2026-01-29T11:15:37.136854,4897.015152,False,ttl_ok
CANDELARIA,192.168.40.25,COMERCIO V.GORGONA,True,False,,,2026-01-29T11:15:37.151554,,True,ttl_ok
CANDELARIA,192.168.40.39,TELECOM CARMELO,True,False,,,2026-01-29T11:15:37.161246,4897.039544,False,ttl_ok
CANDELARIA,192.168.42.15,TRANSITO JUANCHITO,True,False,,,2026-01-29T11:15:37.162559,4897.040857,False,ttl_ok
CANDELARIA,192.168.42.19,LA TORRE JUANCHITO,True,False,,,2026-01-29T11:15:37.166212,4897.04451,False,ttl_ok
CANDELARIA,192.168.42.29,INTERNET CCAMPO,True,False,,,2026-01-29T11:15:37.186141,4897.064439,False,ttl_ok
CANDELARIA,192.168.40.153,CORRESPONSAL CAMPESTRE,True,False,,,2026-01-29T11:15:37.191233,4897.069531,False,ttl_ok
CANDELARIA,192.168.40.123,CENTRAL V.GORGONA,True,False,,,2026-01-29T11:15:37.206462,4897.08476,False,ttl_ok
