segment,ip,alias,active,excluded,hostname,latency,scan_time,estimated_uptime,state_change,ping_reason
AMAIME Y EL PLACER,192.168.12.71,TIENDA GAVIOTA,True,False,,,2026-01-29T11:17:46.965459,5026.843757,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.61,LA PALOMERA,True,False,,,2026-01-29T11:17:46.967867,5026.846165,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.23,ANTIGUA PPAL AMAIME,True,False,,,2026-01-29T11:17:46.978041,5026.856339,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.35,TIENDA JOEL,True,False,,,2026-01-29T11:17:46.983501,5026.861799,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.11,OFICINA PRINCIPAL AMAIME,True,False,,,2026-01-29T11:17:46.983618,5026.861916,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.103,BOYACA,True,False,,,2026-01-29T11:17:46.985901,5026.864199,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.65,COOMSAVAL,True,False,,,2026-01-29T11:17:46.988725,5026.867023,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.31,LOS PARRALES,True,False,,,2026-01-29T11:17:47.004737,5026.883035,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.67,EL OVIEDO I,True,False,,,2026-01-29T11:17:47.013880,5026.892178,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.73,TRIUNFO  II,True,False,,,2026-01-29T11:17:47.018577,5026.896875,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.47,EL GALEON,True,False,,,2026-01-29T11:17:47.022282,5026.90058,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.37,MERCAHOGAR,True,False,,,2026-01-29T11:17:47.023824,5026.902122,False,ttl_ok
AMAIME Y EL PLACER,192.168.22.35,LA PAMPA,True,False,,,2026-01-29T11:17:47.031407,5026.909705,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.41,AMAIME I,True,False,,,2026-01-29T11:17:47.064608,5026.942906,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.27,MALL CENTER AMAIME,True,False,,,2026-01-29T11:17:47.065965,5026.944263,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.53,PORVENIR DE COMFANDI AMAIME,True,False,,,2026-01-29T11:17:47.066542,5026.94484,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.45,ESCUELA AMAIME,True,False,,,2026-01-29T11:17:47.101933,5026.980231,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.77,CARERRA 3 AMAIME,True,False,,,2026-01-29T11:17:47.102281,5026.980579,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.25,CALLE COMERCIO,True,False,,,2026-01-29T11:17:47.118182,5026.99648,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.33,EL HOYO,False,False,,,2026-01-29T11:17:50.288047,,False,win_fail_rc=0
