segment,ip,alias,active,excluded,hostname,latency,scan_time,estimated_uptime,state_change,ping_reason
ROZO,192.168.19.23,LA TROCHA ROZO,True,False,,,2026-02-02T08:44:39.983232,344825.402369,False,ttl_ok
ROZO,192.168.19.16,CANCHA LA TORRE I,True,False,,,2026-02-02T08:44:40.003109,344825.422246,False,ttl_ok
ROZO,192.168.19.12,PTO FRT AL CEMENTERIO,True,False,,,2026-02-02T08:44:40.012106,344825.431243,False,ttl_ok
ROZO,192.168.19.15,TIENDA NUEVA I ROZO,True,False,,,2026-02-02T08:44:40.026040,344825.445177,False,ttl_ok
ROZO,192.168.19.13,BOMBEROS ROZO,True,False,,,2026-02-02T08:44:40.038532,344825.457669,False,ttl_ok
ROZO,192.168.19.32,CANCHA LA TORRE II,True,False,,,2026-02-02T08:44:40.039403,,True,ttl_ok
ROZO,192.168.19.10,ANTIGUA PRINCIPAL ROZO,True,False,,,2026-02-02T08:44:40.046273,344825.46541,False,ttl_ok
ROZO,192.168.19.6,CAJEROS ROZO MICROSEGUROS,True,False,,,2026-02-02T08:44:40.046381,344825.465518,False,ttl_ok
ROZO,192.168.19.18,CALLEJON VERGARA II,True,False,,,2026-02-02T08:44:40.048126,,True,ttl_ok
ROZO,192.168.19.139,VILLA LENIS ROZO,True,False,,,2026-02-02T08:44:40.057059,344825.476196,False,ttl_ok
ROZO,192.168.19.36,OBANDO ROZO,True,False,,,2026-02-02T08:44:40.066476,,True,ttl_ok
ROZO,192.168.19.20,VIRGINIA I ROZO,True,False,,,2026-02-02T08:44:40.070345,,True,ttl_ok
ROZO,192.168.19.19,LA PRIMAVERA,True,False,,,2026-02-02T08:44:40.070439,344825.489576,False,ttl_ok
ROZO,192.168.19.138,MATAPALO II,True,False,,,2026-02-02T08:44:40.087136,344825.506273,False,ttl_ok
ROZO,192.168.19.135,LA PIÑA I ROZO,True,False,,,2026-02-02T08:44:40.090137,,True,ttl_ok
ROZO,192.168.19.29,TEATRO ROZO,True,False,,,2026-02-02T08:44:40.094850,344825.513987,False,ttl_ok
ROZO,192.168.18.70,OFICINA PRINCIPAL ROZO,True,False,,,2026-02-02T08:44:40.096445,344825.515582,False,ttl_ok
ROZO,192.168.19.35,BELALCAZAR ROZO,True,False,,,2026-02-02T08:44:40.098454,344825.517591,False,ttl_ok
ROZO,192.168.19.21,VIA CEMENTERIO,True,False,,,2026-02-02T08:44:40.113979,344825.533116,False,ttl_ok
ROZO,192.168.19.14,TELECOM ROZO,True,False,,,2026-02-02T08:44:40.130919,344825.550056,False,ttl_ok
ROZO,192.168.19.25,EL ZAPOTE ROZO,True,False,,,2026-02-02T08:44:40.153055,,True,ttl_ok
ROZO,192.168.19.26,VIRGINIA II ROZO,False,False,,,2026-02-02T08:44:43.375264,,False,win_fail_rc=0
ROZO,192.168.19.17,TELECOM LA TORRE,False,False,,,2026-02-02T08:44:43.377593,,False,win_fail_rc=0
ROZO,192.168.19.28,CONTROL LA TORRE,False,False,,,2026-02-02T08:44:43.537210,,True,win_fail_rc=0
ROZO,10.100.1.20,EL PEAJE ROZO SIST,False,False,,,2026-02-02T08:44:44.069860,,False,win_fail_rc=1
