segment,ip,alias,active,excluded,hostname,latency,scan_time,estimated_uptime,state_change,ping_reason
CANDELARIA,192.168.40.23,LA MARIA V.GORGONA,True,False,,,2026-02-02T10:15:51.790612,,True,ttl_ok
CANDELARIA,192.168.42.15,TRANSITO JUANCHITO,True,False,,,2026-02-02T10:15:51.810322,346911.68862,False,ttl_ok
CANDELARIA,192.168.40.141,BODEGA 2 CAVASA,True,False,,,2026-02-02T10:15:51.824941,346911.703239,False,ttl_ok
CANDELARIA,192.168.40.65,TAT CASA VERDE POBLADO,True,False,,,2026-02-02T10:15:51.840602,346911.7189,False,ttl_ok
CANDELARIA,192.168.40.12,ADMINISTRATIVO CARMELO,True,False,,,2026-02-02T10:15:51.841120,346911.719418,False,ttl_ok
CANDELARIA,192.168.40.99,AVENIDA LA VICTORIA V.GORG,True,False,,,2026-02-02T10:15:51.846168,346911.724466,False,ttl_ok
CANDELARIA,192.168.40.10,CAJEROS CANDEL MICROSEGUROS,True,False,,,2026-02-02T10:15:51.855860,346911.734158,False,ttl_ok
CANDELARIA,192.168.40.153,CORRESPONSAL CAMPESTRE,True,False,,,2026-02-02T10:15:51.866245,346911.744543,False,ttl_ok
CANDELARIA,192.168.40.39,TELECOM CARMELO,True,False,,,2026-02-02T10:15:51.869604,346911.747902,False,ttl_ok
CANDELARIA,192.168.40.29,OFICINA 20 JULIO V.GORg,True,False,,,2026-02-02T10:15:51.884660,346911.762958,False,ttl_ok
CANDELARIA,192.168.42.25,LA COLMENITA CCAMPO,True,False,,,2026-02-02T10:15:51.887371,346911.765669,False,ttl_ok
CANDELARIA,192.168.42.19,LA TORRE JUANCHITO,True,False,,,2026-02-02T10:15:51.891066,346911.769364,False,ttl_ok
CANDELARIA,192.168.42.43,ALMENDROS CCAMPO,True,False,,,2026-02-02T10:15:51.895402,346911.7737,False,ttl_ok
CANDELARIA,192.168.40.161,TAT DALIAS,True,False,,,2026-02-02T10:15:51.901411,346911.779709,False,ttl_ok
CANDELARIA,192.168.40.147,T.A.T BELEN GORG,True,False,,,2026-02-02T10:15:51.909970,346911.788268,False,ttl_ok
CANDELARIA,192.168.40.27,LOS ANGELES V.GORGONA,True,False,,,2026-02-02T10:15:51.915811,346911.794109,False,ttl_ok
CANDELARIA,192.168.42.29,INTERNET CCAMPO,True,False,,,2026-02-02T10:15:51.915961,346911.794259,False,ttl_ok
CANDELARIA,192.168.40.107,EL SAMAN GORGONA V.GORG,True,False,,,2026-02-02T10:15:51.925522,346911.80382,False,ttl_ok
CANDELARIA,192.168.42.17,CALLEJON PEREIRA JUANCHITO,True,False,,,2026-02-02T10:15:51.938985,346911.817283,False,ttl_ok
CANDELARIA,192.168.40.159,CORRESPONSAL DALIAS,True,False,,,2026-02-02T10:15:51.940784,346911.819082,False,ttl_ok
CANDELARIA,192.168.42.45,AVENIDA CCAMPO,True,False,,,2026-02-02T10:15:51.946277,346911.824575,False,ttl_ok
CANDELARIA,192.168.40.105,VARIEDADES ALDEA CAMPEST,True,False,,,2026-02-02T10:15:51.952012,346911.83031,False,ttl_ok
CANDELARIA,192.168.42.37,T.A.T CUDAD DEL CAMPO ESQUINA,True,False,,,2026-02-02T10:15:51.954459,346911.832757,False,ttl_ok
CANDELARIA,192.168.40.25,COMERCIO V.GORGONA,True,False,,,2026-02-02T10:15:51.969276,342004.822994,False,ttl_ok
CANDELARIA,192.168.40.123,CENTRAL V.GORGONA,True,False,,,2026-02-02T10:15:51.974235,346911.852533,False,ttl_ok
CANDELARIA,192.168.40.81,TAT TIENDA LA VICTORIA V.GORG,True,False,,,2026-02-02T10:15:51.994989,346911.873287,False,ttl_ok
CANDELARIA,192.168.40.21,IGLESIA V.GORGONA,True,False,,,2026-02-02T10:15:52.000802,346911.8791,False,ttl_ok
CANDELARIA,192.168.42.39,T.A.T LA CRUZ,True,False,,,2026-02-02T10:15:52.006986,346911.885284,False,ttl_ok
CANDELARIA,192.168.40.13,OFI PPAL V.GORGONA,True,False,,,2026-02-02T10:15:52.032874,346911.911172,False,ttl_ok
CANDELARIA,192.168.40.17,LA VIRGEN V.GORGONA,True,False,,,2026-02-02T10:15:52.039938,346911.918236,False,ttl_ok
CANDELARIA,192.168.40.53,SAN JUAQUIN (CAND),True,False,,,2026-02-02T10:15:52.215799,346912.094097,False,ttl_ok
CANDELARIA,192.168.40.61,PANADERIA POBLADO,True,False,,,2026-02-02T10:15:52.215935,346912.094233,False,ttl_ok
CANDELARIA,192.168.40.63,CAMPI DELICIAS POBLADO,True,False,,,2026-02-02T10:15:52.216516,346912.094814,False,ttl_ok
CANDELARIA,192.168.40.155,CORRESPONSAL CARMELO JARDIN,True,False,,,2026-02-02T10:15:52.245072,346912.12337,False,ttl_ok
CANDELARIA,192.168.36.30,T.A.T CIUDAD DEL VALLE,True,False,,,2026-02-02T10:15:52.260252,346912.13855,False,ttl_ok
CANDELARIA,192.168.40.119,T.A.T HAY CHAVELA TIENDA POBLA,True,False,,,2026-02-02T10:15:52.267732,346912.14603,False,ttl_ok
CANDELARIA,192.168.40.137,LA ROSELA POBLADO,True,False,,,2026-02-02T10:15:52.284656,,True,ttl_ok
CANDELARIA,192.168.40.129,TAT BATARA POBLADO,True,False,,,2026-02-02T10:15:52.299972,346912.17827,False,ttl_ok
CANDELARIA,192.168.40.139,LA ARBOLEDA POBLADO,True,False,,,2026-02-02T10:15:52.300147,346912.178445,False,ttl_ok
CANDELARIA,192.168.40.75,EXPENDIDO PAPA CABUYAL,True,False,,,2026-02-02T10:15:52.305746,346912.184044,False,ttl_ok
CANDELARIA,192.168.40.77,CALLE PRINCIPAL CABUYAL,True,False,,,2026-02-02T10:15:52.327174,,True,ttl_ok
CANDELARIA,192.168.26.104,LA TABERNA REGINA,True,False,,,2026-02-02T10:15:52.338922,346912.21722,False,ttl_ok
CANDELARIA,192.168.27.51,PARQUE 2 (CAND),True,False,,,2026-02-02T10:15:52.352204,244667.057867,False,ttl_ok
CANDELARIA,192.168.27.74,TAT PROCURADURIA (CAND),True,False,,,2026-02-02T10:15:52.367267,346912.245565,False,ttl_ok
CANDELARIA,192.168.40.97,MANZANARES I POBLADO,True,False,,,2026-02-02T10:15:52.375891,,True,ttl_ok
CANDELARIA,192.168.27.29,TAT COLOMBIANA (CAND),True,False,,,2026-02-02T10:15:52.378507,,True,ttl_ok
CANDELARIA,192.168.27.71,TAT PANAMERICANO (CAND),True,False,,,2026-02-02T10:15:52.389289,346912.267587,False,ttl_ok
CANDELARIA,192.168.28.100,OFICINA PRINCIPAL (CAND),True,False,,,2026-02-02T10:15:52.398201,346912.276499,False,ttl_ok
CANDELARIA,192.168.27.62,SAN CRISTOBAL (CAND),True,False,,,2026-02-02T10:15:52.399372,346912.27767,False,ttl_ok
CANDELARIA,192.168.40.41,AGUILA ROJA CARMELO,True,False,,,2026-02-02T10:15:52.405122,346912.28342,False,ttl_ok
CANDELARIA,192.168.27.58,REGISTRADURIA (CAND),True,False,,,2026-02-02T10:15:52.408397,346912.286695,False,ttl_ok
CANDELARIA,192.168.40.121,BRISAS V.GORGONA,True,False,,,2026-02-02T10:15:52.459287,346912.337585,False,ttl_ok
CANDELARIA,192.168.40.83,EL ARENAL (CAND),True,False,,,2026-02-02T10:15:52.514408,346912.392706,False,ttl_ok
CANDELARIA,192.168.27.64,POLIDEPORTIVO (CAND),True,False,,,2026-02-02T10:15:52.522902,346912.4012,False,ttl_ok
CANDELARIA,192.168.27.63,GUARDERIA (CAND),True,False,,,2026-02-02T10:15:52.532239,,True,ttl_ok
CANDELARIA,192.168.27.54,PELUQUERIA ROSI (CAND),True,False,,,2026-02-02T10:15:52.538348,346912.416646,False,ttl_ok
CANDELARIA,192.168.27.59,BOMBEROS (CAND),True,False,,,2026-02-02T10:15:52.548825,346912.427123,False,ttl_ok
CANDELARIA,192.168.27.69,ESTADIO (CAND),True,False,,,2026-02-02T10:15:52.565410,346912.443708,False,ttl_ok
CANDELARIA,192.168.27.57,GALERIA (CAND),True,False,,,2026-02-02T10:15:52.567082,346912.44538,False,ttl_ok
CANDELARIA,192.168.27.56,RUBIO (CAND),True,False,,,2026-02-02T10:15:52.571733,346912.450031,False,ttl_ok
CANDELARIA,192.168.40.115,TAT INTERNET VICTORIA,False,False,,,2026-02-02T10:15:55.331698,,False,win_fail_rc=0
CANDELARIA,192.168.40.35,CALLE CENTRAL EL CARMELO,False,False,,,2026-02-02T10:15:55.332199,,False,win_fail_rc=0
CANDELARIA,192.168.36.22,T.A.T CONJUNTO VIENTOS DE CIUD,False,False,,,2026-02-02T10:15:55.495454,,False,win_fail_rc=0
CANDELARIA,192.168.42.21,FINAL PEREIRA JUANCHITO,False,False,,,2026-02-02T10:15:55.533869,,False,win_fail_rc=0
CANDELARIA,10.100.1.16,PARQUE TIPLE (CAND),False,False,,,2026-02-02T10:15:55.640672,,True,win_fail_rc=1
CANDELARIA,192.168.40.33,FANNY ROMERO POBLADO,False,False,,,2026-02-02T10:15:55.651507,,False,win_fail_rc=0
CANDELARIA,192.168.40.91,RENDIDOR POBLADO,False,False,,,2026-02-02T10:15:55.651644,,True,win_fail_rc=0
CANDELARIA,192.168.27.55,GRANERO (CAND),False,False,,,2026-02-02T10:15:55.664893,,False,win_fail_rc=0
