segment,ip,alias,active,excluded,hostname,latency,scan_time,estimated_uptime,state_change,ping_reason
FLORIDA,192.168.32.115,JULIO CASTANO I,True,False,,,2026-02-02T10:20:43.276725,,True,ttl_ok
FLORIDA,192.168.32.139,DON LIBARDO,True,False,,,2026-02-02T10:20:43.356585,347203.234883,False,ttl_ok
FLORIDA,192.168.32.73,TARRAGONA ALTO,True,False,,,2026-02-02T10:20:43.381095,347203.259393,False,ttl_ok
FLORIDA,192.168.32.39,EL CEMENTERIO,True,False,,,2026-02-02T10:20:43.381283,347203.259581,False,ttl_ok
FLORIDA,192.168.32.109,TIENDA LA ONCE,True,False,,,2026-02-02T10:20:43.404228,347203.282526,False,ttl_ok
FLORIDA,192.168.32.77,TELECOM FLORIDA,True,False,,,2026-02-02T10:20:43.409145,,True,ttl_ok
FLORIDA,192.168.32.105,LA NOVENA FLORIDA,True,False,,,2026-02-02T10:20:43.412653,244958.118316,False,ttl_ok
FLORIDA,192.168.32.91,CHOCOSITO,True,False,,,2026-02-02T10:20:43.416633,347203.294931,False,ttl_ok
FLORIDA,192.168.32.159,LINA MARCELA,True,False,,,2026-02-02T10:20:43.420763,347203.299061,False,ttl_ok
FLORIDA,192.168.32.131,SAN ANTONIO,True,False,,,2026-02-02T10:20:43.428356,347203.306654,False,ttl_ok
FLORIDA,192.168.32.51,VILLA NANCY,True,False,,,2026-02-02T10:20:43.428521,,True,ttl_ok
FLORIDA,192.168.32.133,FLORIDA EL CEDRO,True,False,,,2026-02-02T10:20:43.433498,347203.311796,False,ttl_ok
FLORIDA,192.168.32.53,PANADERIA LA 24 FLO,True,False,,,2026-02-02T10:20:43.436901,347203.315199,False,ttl_ok
FLORIDA,192.168.32.161,EL RENDIDOR 2,True,False,,,2026-02-02T10:20:43.437473,347203.315771,False,ttl_ok
FLORIDA,192.168.32.59,FLORIDA PRINCIPAL,True,False,,,2026-02-02T10:20:43.445208,347203.323506,False,ttl_ok
FLORIDA,192.168.32.28,SIST. REMOLINO,True,False,,,2026-02-02T10:20:43.460154,347203.338452,False,ttl_ok
FLORIDA,192.168.32.49,SAN JORGE FLORIDA,True,False,,,2026-02-02T10:20:43.462506,330494.265272,False,ttl_ok
FLORIDA,192.168.32.151,ACUARIOS 2,True,False,,,2026-02-02T10:20:43.482753,347203.361051,False,ttl_ok
FLORIDA,192.168.32.81,TARRAGONA,True,False,,,2026-02-02T10:20:43.498112,244958.203775,False,ttl_ok
FLORIDA,192.168.32.121,LA EXQUISITA,True,False,,,2026-02-02T10:20:43.504820,347203.383118,False,ttl_ok
FLORIDA,192.168.32.43,EL TORNILLO,True,False,,,2026-02-02T10:20:43.512807,,True,ttl_ok
FLORIDA,192.168.32.145,HOSPITAL,True,False,,,2026-02-02T10:20:43.525810,347203.404108,False,ttl_ok
FLORIDA,192.168.32.35,LA ESMERALDA FLORIDA,True,False,,,2026-02-02T10:20:43.540470,347203.418768,False,ttl_ok
FLORIDA,192.168.32.57,PARQUE,True,False,,,2026-02-02T10:20:43.544511,347203.422809,False,ttl_ok
FLORIDA,10.100.1.2,EL LLANITO,True,False,,,2026-02-02T10:20:43.550744,244958.256407,False,ttl_ok
FLORIDA,192.168.32.147,LOS ALMENDROS FLO,True,False,,,2026-02-02T10:20:43.556934,,True,ttl_ok
FLORIDA,192.168.32.41,LA CALENITA,True,False,,,2026-02-02T10:20:43.559988,347203.438286,False,ttl_ok
FLORIDA,192.168.32.123,QUINAMAYO FLORIDA,True,False,,,2026-02-02T10:20:43.572114,,True,ttl_ok
FLORIDA,192.168.32.169,FLORIDA PARQUE DEL LEON,True,False,,,2026-02-02T10:20:43.580223,342296.433941,False,ttl_ok
FLORIDA,192.168.32.111,SUPERYA II,True,False,,,2026-02-02T10:20:43.580402,,True,ttl_ok
FLORIDA,192.168.32.248,CARRASQUILLA,True,False,,,2026-02-02T10:20:43.588399,347203.466697,False,ttl_ok
FLORIDA,192.168.32.55,LAS AMERICAS FLORIDA,True,False,,,2026-02-02T10:20:43.592384,347203.470682,False,ttl_ok
FLORIDA,192.168.32.13,OFICINA SAN ANTONIO,True,False,,,2026-02-02T10:20:43.648710,347203.527008,False,ttl_ok
FLORIDA,192.168.32.175,TAT EL RECREO FLORIDA,True,False,,,2026-02-02T10:20:43.677386,347203.555684,False,ttl_ok
FLORIDA,192.168.32.65,PARQUE SAN ANTONIO,True,False,,,2026-02-02T10:20:43.684577,347203.562875,False,ttl_ok
FLORIDA,192.168.32.149,CARABALI,True,False,,,2026-02-02T10:20:43.711762,244958.417425,False,ttl_ok
FLORIDA,192.168.32.165,EL FAJARDO,True,False,,,2026-02-02T10:20:43.716159,347203.594457,False,ttl_ok
FLORIDA,192.168.32.163,BOMBA,True,False,,,2026-02-02T10:20:43.716261,,True,ttl_ok
FLORIDA,192.168.32.141,BUS CALI,True,False,,,2026-02-02T10:20:43.719968,347203.598266,False,ttl_ok
FLORIDA,192.168.32.113,LA POLA,True,False,,,2026-02-02T10:20:43.727712,,True,ttl_ok
FLORIDA,192.168.32.155,LA CASILDA,True,False,,,2026-02-02T10:20:43.732108,341819.583756,False,ttl_ok
FLORIDA,192.168.32.179,LA QUINCE FLORIDA,True,False,,,2026-02-02T10:20:43.756186,244958.461849,False,ttl_ok
FLORIDA,192.168.32.127,LA CABANA,True,False,,,2026-02-02T10:20:43.961401,244958.667064,False,ttl_ok
FLORIDA,192.168.32.69,BUGUENA,False,False,,,2026-02-02T10:20:46.763036,,True,win_fail_rc=0
FLORIDA,192.168.32.119,EL MERCADO,False,False,,,2026-02-02T10:20:46.827451,,False,win_fail_rc=0
FLORIDA,192.168.32.167,LA VICTORIA,False,False,,,2026-02-02T10:20:47.083219,,True,win_fail_rc=0
