segment,ip,alias,active,excluded,hostname,latency,scan_time,estimated_uptime,state_change,ping_reason
OCCIDENTE,192.168.11.136,LA UNION,True,False,,,2026-02-02T10:21:37.357476,347257.235774,False,ttl_ok
OCCIDENTE,192.168.46.15,CLUB JAPONES,True,False,,,2026-02-02T10:21:37.380957,,True,ttl_ok
OCCIDENTE,192.168.22.21,POTRERILLO TIENDA NUEVA,True,False,,,2026-02-02T10:21:37.388993,347257.267291,False,ttl_ok
OCCIDENTE,192.168.46.19,LUCERNA,True,False,,,2026-02-02T10:21:37.399704,,True,ttl_ok
OCCIDENTE,192.168.46.11,PANADERIA ALASKA,True,False,,,2026-02-02T10:21:37.401779,347257.280077,False,ttl_ok
OCCIDENTE,192.168.11.143,RESTAURANTE,True,False,,,2026-02-02T10:21:37.406151,347257.284449,False,ttl_ok
OCCIDENTE,192.168.22.23,GUAYABAL I TIENDA NUEVA,True,False,,,2026-02-02T10:21:37.408434,347257.286732,False,ttl_ok
OCCIDENTE,192.168.22.131,TABLONES III,True,False,,,2026-02-02T10:21:37.409042,347257.28734,False,ttl_ok
OCCIDENTE,192.168.11.12,CALLEJON  PALMASECA,True,False,,,2026-02-02T10:21:37.410788,347257.289086,False,ttl_ok
OCCIDENTE,192.168.34.31,CALLEJON LA PALMA,True,False,,,2026-02-02T10:21:37.412891,347257.291189,False,ttl_ok
OCCIDENTE,192.168.11.138,CRUCERO GUANABANAL,True,False,,,2026-02-02T10:21:37.417259,347257.295557,False,ttl_ok
OCCIDENTE,192.168.22.33,BARRANCAS TIENDA NUEVA,True,False,,,2026-02-02T10:21:37.419597,,True,ttl_ok
OCCIDENTE,192.168.11.141,BARRIO NUEVO BOLO,True,False,,,2026-02-02T10:21:37.421604,347257.299902,False,ttl_ok
OCCIDENTE,192.168.22.133,TABLONES I TIENDA NUEVA,True,False,,,2026-02-02T10:21:37.423586,347257.301884,False,ttl_ok
OCCIDENTE,192.168.22.29,TIENDA NUEVA II OFICINA,True,False,,,2026-02-02T10:21:37.432138,347257.310436,False,ttl_ok
OCCIDENTE,192.168.11.140,AEROPUERTO MUELLE NACIONAL,True,False,,,2026-02-02T10:21:37.433200,347257.311498,False,ttl_ok
OCCIDENTE,192.168.36.33,TAT LA PALMA BOLO,False,False,,,2026-02-02T10:21:40.587258,,False,win_fail_rc=0
OCCIDENTE,192.168.15.65,LA HERRADURA,False,False,,,2026-02-02T10:21:40.598170,,False,win_fail_rc=0
OCCIDENTE,192.168.46.31,BOMBA LAURO,False,False,,,2026-02-02T10:21:40.699118,,False,win_fail_rc=0
OCCIDENTE,192.168.11.11,EL PROGRESO,False,False,,,2026-02-02T10:21:40.792667,,False,win_fail_rc=0
OCCIDENTE,192.168.22.39,TAT POTRERILLO BETPLAY,False,False,,,2026-02-02T10:21:40.811279,,False,win_fail_rc=0
